trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
148,False,"{'a': 0.08783783783783784, 'e': 0.06756756756756757}",20,0,31.999035099495025,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
149,False,"{'a': 0.087248322147651, 'e': 0.06711409395973154}",25,18,36.079477176875486,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.08666666666666667, 'e': 0.06666666666666667}",20,13,27.588074987321917,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.08609271523178808, 'e': 0.06622516556291391}",25,13,32.19489456751632,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.08552631578947369, 'e': 0.06578947368421052}",25,10,48.044839501346054,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.08496732026143791, 'e': 0.06535947712418301}",20,16,22.673918737075056,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.08441558441558442, 'e': 0.06493506493506493}",25,10,26.84927851929191,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
155,False,"{'a': 0.08387096774193549, 'e': 0.06451612903225806}",25,19,38.97033851352369,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.08333333333333333, 'e': 0.0641025641025641}",35,13,11.847293438759923,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
157,False,"{'a': 0.08280254777070063, 'e': 0.06369426751592357}",35,7,2.736407204597106,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 2}",1
158,False,"{'a': 0.08227848101265822, 'e': 0.06329113924050633}",20,16,33.648289829752564,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.08176100628930817, 'e': 0.06289308176100629}",30,11,-15.549651561141983,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 1}",1
160,False,"{'a': 0.08125, 'e': 0.0625}",30,20,33.83559133316883,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.08074534161490683, 'e': 0.062111801242236024}",20,6,3.6553574003832647,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
162,False,"{'a': 0.08024691358024691, 'e': 0.06172839506172839}",25,17,28.86451938562399,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.07975460122699386, 'e': 0.06134969325153374}",20,13,38.833710489406855,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.07926829268292683, 'e': 0.06097560975609756}",25,7,65.06409514779489,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.07878787878787878, 'e': 0.06060606060606061}",20,13,-1.4957586384078532,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
166,False,"{'a': 0.0783132530120482, 'e': 0.060240963855421686}",25,10,-42.40997377372804,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 2}",1
167,False,"{'a': 0.07784431137724551, 'e': 0.059880239520958084}",25,13,24.803587674224822,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
168,False,"{'a': 0.07738095238095238, 'e': 0.05952380952380952}",20,0,58.22198952130903,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
169,False,"{'a': 0.07692307692307693, 'e': 0.05917159763313609}",30,4,42.92173654811437,"{0: 25, 1: 1, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.07647058823529412, 'e': 0.058823529411764705}",20,16,31.296967895821183,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.07602339181286549, 'e': 0.05847953216374269}",20,15,23.20696992156521,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.0755813953488372, 'e': 0.05813953488372093}",30,16,31.039312905645147,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.07514450867052024, 'e': 0.057803468208092484}",25,20,41.0455044943549,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.07471264367816093, 'e': 0.05747126436781609}",30,12,-5.355201018026598,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 1}",1
175,False,"{'a': 0.07428571428571429, 'e': 0.05714285714285714}",20,16,34.66177939458671,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
